"quote","attribution"
"Ich sterbe. Du stirbst. Er stirbt. Viel schlimmer ist, wenn ein volles Faß verdirbt.","Joachim Ringelnatz, aus Seemannsgedanken übers Ersaufen"
"Mancher wird ein freier Diogenes, nicht wenn er in dem Fasse, sondern wenn dieses in ihm wohnt.","Jean Paul, Feldprediger Schmelzle, SW Abt.1, Bd.13 - Quelle: G. Fieguth: Deutsche Aphorismen (1978, Philipp Reclam)"
"Das bringt das Fass zum Überlaufen.","Aus Deutschland"
"Das schlägt dem Fass den Boden aus.","Aus Deutschland"
"Ein Löffel Teer in einem Fass Honig.","Aus Russland"
"Im April ist jeder Tropfen ein Fass.","Aus Italien"
"Mit einem Tropfen Honig fängt man mehr Fliegen als mit einem Fass Essig.","Aus Italien"
"Saurer Essig schadet seinem Fass.","Aus der Türkei"
"Volles Fass, leere Kirche.","Aus Venedig"
