"quote","attribution"
"Der christliche Glaube ist eine großartige Kathedrale mit göttlich bebilderten Fenstern. Steht man draußen, sieht man keine himmlische Herrlichkeit, noch kann man sich überhaupt eine vorstellen; steht man in ihr, enthüllt jeder Lichtstrahl eine Harmonie unaussprechlichen Glanzes.","Nathaniel Hawthorne, Der Marmorfaun, S. 215"
"Ich denke an dichte Fenster! Kein anderes Land kann so dichte und so schöne Fenster bauen.","Angela Merkel, BILD-Zeitung, 29. November 2004 auf die Frage, welche Empfindungen Deutschland in ihr weckt"
"Kunst ist das Fenster, durch das der Mensch seine höhere Fähigkeit erkennt.","Giovanni Segantini, Schriften und Briefe"
"Man eilt herbei, um die Unglücklichen zu betrachten, man bildet eine Gasse oder stellt sich an die Fenster, um die Züge und die Haltungen eines Menschen zu beobachten, der zum Tode verurteilt ist und weiß, dass er sterben muss: eitle, bösartige, unmenschliche Neugierde!","Jean de La Bruyère, Die Charaktere"
"Öffne ein Fenster, laß mich das Licht sehen.","Giacomo Leopardi Letzte Worte, 14. Juni 1837"
"So vergehn die Schatten und verwehen im Nichts, // und die Westwinde spielen im Hag, // und die Fenster meiner Seele spiegeln des Lichts // kommenden jungen Tag."," John Greenleaf Whittier: Mein Psalm, (orig.: My Psalm) übersetzt von Mally von Have Behler, in: Komm, leb mit mir, Silva-Verlag Iserlohn 1947, S.243"
"Vergeben und vergessen heißt, gemachte kostbare Erfahrungen zum Fenster hinauswerfen.","Arthur Schopenhauer, Aphorismen zur Lebensweisheit"
