"quote","attribution"
"Ist doch der Mensch gleichwie nichts; seine Tage gehen dahin wie ein Schatten, er hüpft umher wie ein Bock, bläht sich auf wie eine Blase, faucht wie ein Luchs, frißt sich den Bauch voll wie eine Schlange, wiehert beim Anblick eines fremden Weibes wie ein Hengst, ist tückisch wie der Teufel; hat er seine Begierden gestillt, so schläft er, wann und wo ihn der Schlaf überfällt(...)","Awwakum, Das Leben des Protopopen Avvakum, von ihm selbst niedergeschrieben, aus dem Altrussischen übersetzt von Gerhard Hildebrandt, Vandenhoeck & Ruprecht, Göttingen 1965, S.52"
"Was du wirst erwachend sehn, // Wähl es dir zum Liebchen schön, // seinetwegen schmacht und stöhn, // sei es Brummbär, Kater, Luchs, // borst'ger Eber oder Fuchs, // was sich zeigt an diesem Platz, // wenn du aufwachst, wird dein Schatz; // sähst du gleich die ärgste Fratz'!","William Shakespeare, Ein Sommernachtstraum, 2. Aufzug, 2. Szene / Oberon zu Titania"
"Draußen ein Luchs, daheim ein Maulwurf.","Aus Deutschland"
