"quote","attribution"
"Eben geht mit einem Teller // Witwe Bolte in den Keller, // Daß sie von dem Sauerkohle // Eine Portion sich hole, // Wofür sie besonders schwärmt, // Wenn er wieder aufgewärmt.","Wilhelm Busch, Max und Moritz: Zweiter Streich, Witwe Bolte"
"Erfolg kommt nicht von allein und liegt auch nicht plötzlich einfach so auf dem Teller beim Abendessen.","Nadia Comaneci, Interview im Stern Nr. 40/2006"
"Ich mag das englische Frühstück nicht. Ich habe immer das Gefühl, eine Art Verbrechen vor mir auf dem Teller zu haben.","Chrissie Hynde, US-amerikanische Ausgabe des »Rolling Stone«, Nr. 454, 15. August 1985; Übersetzung: Toledo"
"(Original engl.: ","I don't like the English breakfast. I always have the feeling I face a kind of crime on the plate in front of me."
"Ich wünschte, ich hätte die Zeit für wenigstens einen weiteren Teller Chili.","Kit Carson, Letzte Worte, 23. Mai 1868"
"Wenn man Regierungsbeamten vorschlägt, einmal über den eigenen Tellerrand hinauszublicken, nehmen sie einfach einen größeren Teller.","Tom Clancy, Der Spiegel 32/2002"
