"quote","attribution"
"Wie willst du weiße Lilien zu roten Rosen machen? // Küss eine weiße Galathee: Sie wird errötend lachen.","Friedrich von Logau, Sinngedichte"
"Und was sorgt ihr euch um eure Kleidung? Lernt von den Lilien, die auf dem Feld wachsen: Sie arbeiten nicht und spinnen nicht. Doch ich sage euch: Selbst Salomo war in all seiner Pracht nicht gekleidet wie eine von ihnen.","Matthäus 6,28-29 EU"
"Wie eine Lilie unter den Dornen, so ist meine Freundin unter den Mädchen.","Hohelied 2,2 LUT"
