"quote","attribution"
"Dass die Wölfe nach Freiheit schreien, ist begreiflich; wenn die Schaafe in ihr Geschrei einstimmen, so beweisen sie damit nur, dass sie Schaafe sind.","Rudolf von Jhering, Der Zweck im Recht. Erster Band. Leipzig: Breitkopf & Härtel, 1877. S. 146. Google Books-USA*"
"Freilich ist's auch kein Vorteil für die Herde, wenn der Schäfer ein Schaf ist.","Johann Wolfgang von Goethe, Brief des Pastors"
"Um ein tadelloses Mitglied einer Schafherde sein zu können, muss man vor allem ein Schaf sein.","Albert Einstein, Neun Aphorismen, in: Essays Presented to Leo Baeck on the Occasion of his Eightieth Birthday, London, East And West Library, 1954, S. 26. books.google"
"Wenn man auf einen Berg steigt, so sieht man einen Ochsen wie ein Schaf, ein Schaf wie ein Ferkel. Und doch ist die Gestalt eines Ochsen anders als die eines Schafes und die Gestalt eines Schafes anders als die eines Ferkels. Das ist der Fehler des Standpunkts des Beobachters.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 413; Richard Wilhelm (Hrsg. und Übers.): Frühling und Herbst des Lü Buwei, Diederichs 1979, ISBN 3-424-00625-4"
"Wie wichtig ist es doch, sich bei Delikatessen und ähnlichen Speisen vorzustellen, dass dieses die Leiche eines Fischs, jenes die Leiche eines Vogels oder Schweines ist, ebenso, dass der Falerner der Saft einer Traube ist und das Purpurgewand die Wolle eines Schafes mit Blut einer Muschel benetzt.","Marc Aurel, Selbstbetrachtungen VI, 13"
"Adler fliegen alleine, Schafe gehen in Herden.","Aus China"
"Es ist ein albern Schaf, das dem Wolf beichtet.","Aus Deutschland"
"Jedes Schaf hofft ungeschoren davon zu kommen.","Aus Deutschland"
"Lieber ein Jahr wie ein Löwe, als hundert Jahre wie ein Schaf.","Aus Italien"
