"quote","attribution"
"Alter Weiher // Ein Frosch springt // Wasser platscht.","Matsuo Bashō, Haiku-Interpretation v. Nino Barbieri"
"Drei Wochen war der Frosch so krank! // Jetzt raucht er wieder. Gott sei Dank!","Wilhelm Busch, Der Frosch und die beiden Enten"
"Aber mir fällt da ein der Ausspruch eines Pariser Arbeiters aus dem Jahr 1847: Quand on vent [sic] dessécher un marais, on ne fait pas en voter les grenouilles - wenn man einen Sumpf austrocknen will, läßt man nicht die Frösche darüber abstimmen.","Bruno Schönlank (SPD) vor dem Reichstag am 4. Februar 1894. Reichstagsprotokolle S. 1112 am Ende"
"Auch das Kind eines Frosches ist ein Frosch.","Aus Japan"
"Der Frosch im Brunnen weiß nichts vom großen Meer.","Aus Japan"
"Der Frosch springt immer in den Pfuhl und säß' er auch auf gold'nem Stuhl.","Aus Deutschland"
