"quote","attribution"
"Der Arbeiter ist auf die Straße, aufs Pflaster geworfen … Das macht die Arbeitslosigkeit, die schreckliche Arbeitslosigkeit, die in den Mansarden die Totenglocke läutet. Panik hat alle Industrie zum Stillstand gebracht, und das Geld, das feige Geld, hat sich versteckt.","Émile Zola, Arbeitslos"
"Der Arbeiter ist auf die Straße, aufs Pflaster geworfen … Das macht die Arbeitslosigkeit, die schreckliche Arbeitslosigkeit, die in den Mansarden die Totenglocke läutet. Panik hat alle Industrie zum Stillstand gebracht, und das Geld, das feige Geld, hat sich versteckt.","Émile Zola, Arbeitslos"
"ABC-Pflaster hilft da, wo's schmerzt.","Werbespruch, ABC-Pflaster, 1975"
