"quote","attribution"
"Ich war auf der Toilette.","Herbert Wehner, auf die Bitte des ARD-Reporters Sven Kunze, eine kurze Anmerkung zu machen zur Wahl Helmut Kohls zum Bundeskanzler nach Mißtrauensvotum im Bundestag, ausgestrahlt in einer Sondersendung der Tagesschau am 1. Oktober 1982"
"Politik besteht darin, dass Sie in Verhandlungen sitzen und nicht immer auf den Pott können.","Heide Simonis, IM PROFIL, Süddeutsche Zeitung, 5. Mai 1993, S. 4, zugeschrieben auf achimwagenknecht.de"
"An drei Orten erweist man sich nicht die Ehre: im Gefängnis, im Klosett und im Schwitzbad.","Jiddisches Sprichwort"
