"quote","attribution"
"Alle Räder stehen still, // Wenn dein starker Arm es will.","Georg Herwegh, Bundeslied für den Allgemeinen deutschen Arbeiterverein"
"Meine Lippen glühn // Und meine Arme breiten sich aus wie Flammen!","Else Lasker-Schüler, Die schwarze Bhowanéh. Aus: Sämtliche Gedichte. Hrsg. von Karl Jürgen Skrodzki. Frankfurt am Main: Jüdischer Verlag, 2004. S. 14. ISBN 3633541969"
"Mir fehlt der Arm, wenn mir die Waffe fehlt.","Friedrich Schiller, Wilhelm Tell III,1 / Tell"
"Songs am Piano schreibt man weg vom Körper, mit ausgestreckten Armen. Die Gitarre dagegen umarmt man wie eine Frau. So klingen dann auch die Songs, die ich auf jedem dieser Instrumente schreibe. Das wurde mir erst vor ein paar Jahren richtig klar.","Paul McCartney, Bravo Nr. 4/1985 vom 17. Januar 1985, S. 15"
