"quote","attribution"
"Am Brunnen vor dem Tore, // Da steht ein Lindenbaum, // Ich träumt' in seinem Schatten // So manchen süßen Traum. // Ich schnitt in seine Rinde // So manches liebe Wort, // Es zog in Freud' und Leide // Zu ihm mich immer fort.","Wilhelm Müller, Die Winterreise, 5. Der Lindenbaum, Verse 1-4 aus: Sieben und siebzig Gedichte aus den hinterlassenen Papieren eines reisenden Waldhornisten. Band 2, Ackermann, Dessau 1824, S. 83, de.wikisource.org"
"Manchmal denke ich, das Herz eines Menschen ist wie ein tiefer Brunnen. Niemand weiß, was auf seinem Grund ist. Man kann es sich nur anhand der Dinge vorstellen, die bisweilen an die Oberfläche treiben.","Haruki Murakami, Blinde Weide, schlafende Frau: Das Flugzeug. Übersetzer: Ursula Gräfe. btb Verlag, 1. Auflage, September 2008, ISBN 978-3-442-73688-1, S. 70"
"Bohre den Brunnen, ehe du Durst hast.","Aus China"
"Der Krug geht so lange zum Brunnen, bis er bricht.","Aus Deutschland"
"Wenn man den toten Hund nicht aus dem Brunnen holt, wird man den Brunnen nie sauber bekommen","Aus Pakistan, zitiert nach Süddeutsche Zeitung vom 19. August 2008, Ausgabe 192, Seite 4, Vgl. auch sueddeutsche.de, tagesspiegel.de"
