"quote","attribution"
"Arafat ist ein Terrorist. Er sieht aus wie ein Terrorist, er geht wie ein Terrorist und er quakt wie ein Terrorist. Sie kennen doch das englische Sprichwort über das, was wohl eine Ente sein muss, wenn es aussieht, watschelt und quakt wie eine Ente?","Ehud Barak, in einem Interview mit dem Tagesspiegel vom 14. Juni 2004"
"Das dunkle Meer // und ein Wildentenruf // im verschwommenen Weiß.","Matsuo Bashō, Haiku-Interpretation v. Nino Barbieri"
"Tierfreunde lesen am liebsten Boulevardzeitungen. Der vielen Enten wegen.","Markus M. Ronner, Markus M. Ronner Zitate-Lexikon, Orell Füssli Verlag AG, Zürich, 2. Ausgabe 2003, ISBN 3-280-05050-2"
