"quote","attribution"
"Da speit das doppelt geöffnete Haus // Zwei Leoparden auf einmal aus, // Die stürzen mit mutiger Kampfbegier // Auf das Tigertier.","Friedrich Schiller, Der Handschuh"
"Gefährlich ists, den Leu zu wecken, // Verderblich ist des Tigers Zahn, // Jedoch der schrecklichste der Schrecken, // Das ist der Mensch in seinem Wahn.","Friedrich Schiller, Das Lied von der Glocke"
"Wenn man vom Tiger spricht, dann kommt er.","Aus Korea"
"Tadle Gott nicht, dass er den Tiger erschaffen hat. Aber danke Gott, dass er ihm keine Flügel gab.","Aus Zaire"
"Pack den Tiger in den Tank!","Werbespruch, Esso, 1966"
"Wecke den Tiger in dir.","Werbespruch, Kelloggs Frosties"
