"quote","attribution"
"Broadwaystar heißt: der immer parate Tisch im überfüllten Restaurant, Zahnarzt am spielfreien Sonntag, Taxi im Platzregen [...] Interviews, Radioshows, Fernsehshows, Gesangsstunden, Tanztraining, Gesundbleiben, Pünktlichsein, Stimme schonen.","Hildegard Knef, 200 Jahre USA, Sonderbeilage des Stern Nr. 16/1976 vom 8. April 1976, S. 98"
"Dem Bedürfnis nach Einsamkeit genügt es nicht, dass man an einem Tisch allein sitzt. Es müssen auch leere Sessel herumstehen. Wenn mir der Kellner so einen Sessel wegzieht, auf dem kein Mensch sitzt, verspüre ich eine Leere und es erwacht meine gesellige Natur. Ich kann ohne freie Sessel nicht leben.","Karl Kraus, Fackel 326/328 40; Pro domo et mundo"
"Die Frau, die man mit Poesie gewann, // Ist nur ein Tisch, worauf man schreiben kann.","Samuel Butler d.Ä., Hudibras"
"Für mich ist es das wichtigste, überall Freunde zu finden und möglichst ein italienisches Restaurant. Um den Tisch herumsitzen, Unsinn reden, essen, trinken, lachen - das ist die Hauptsache.","Marcello Mastroianni, Brigitte, 13/1994"
"Vieles, was bei Tisch geschmacklos ist, ist im Bett eine Würze. Und umgekehrt. Die meisten Verbindungen sind darum so unglücklich, weil diese Trennung von Tisch und Bett nicht vorgenommen wird.","Karl Kraus, Fackel 445/453 9; Nachts"
"Wer bei Tisch nur Liebe findet, // Wird nach Tische hungrig sein.","Georg Friedrich Treitschke, Fidelio: Oper in zwei Akten, I, 4 (Rokko). 2. Abdruck. Riga: Häcker, 1862, S. 6 Google Books"
