"quote","attribution"
"Die Vernunft ist eine Fackel in einem Kerker.","Friedrich Schiller, Philosophische Briefe: Julius an Raphael"
"Es ist fast unmöglich, die Fackel der Wahrheit durch ein Gedränge zu tragen, ohne jemandem den Bart zu sengen.","Georg Christoph Lichtenberg, Sudelbücher, Heft G (13)"
"Wer Bücher verbrennt, verbrennt auch Bibliotheken, bombardiert offene Städte, schießt mit Ferngeschützen oder Fliegerbomben Gotteshäuser ein. Die Drohung, mit der die Fackel in den Bücherstapel fliegt, gilt nicht dem Juden Freud, Marx oder Einstein, sie gilt der europäischen Kultur, sie gilt den Werten, die die Menschheit mühsam hervorgebracht und die der Barbar anhaßt, weil er halt barbarisch ist, unterlegen, roh, infantil.","Arnold Zweig, Rückblick auf Barbarei und Bücherverbrennung. Aus: Über Schriftsteller. Berlin und Weimar: Aufbau-Verlag, 1967. S. 48"
"Es ist nicht not, dass man der Sonne mit Fackeln helfe.","Sprichwort"
"Was die Fackel verzehrt, ist Fahrnis.","Sprichwort"
"Wer den Teufel zum Freunde haben will, der zündet ihm eine Fackel an.","Sprichwort"
