"quote","attribution"
"Wie du beim Gehen darauf achtest, daß du nicht in einen Nagel trittst oder dir den Fuß verstauchst, so nimm dich auch davor in acht, daß das leitende Prinzip in dir keinen Schaden nimmt. Und wenn wir diese Regel bei jeder Handlung einhalten, dann werden wir mit größerer Sicherheit an die Sache herangehen.","Epiktet, Handbuch der Moral (38)"
"Der vorstehende Nagel wird eingehämmert.","Aus Japan"
"Wer ein Häkchen stiehlt, wird hingerichtet; wer sich ein Land unter den Nagel reißt, wird Herzog.","Aus China"
