"quote","attribution"
"Die orgl ist doch in meinen augen und ohren der könig aller instrumenten.","Wolfgang Amadeus Mozart, Brief an den Vater, Augsburg, den 17. Octbr. 1777 books.google, books.google"
"Versäume keine Gelegenheit, dich auf der Orgel zu üben; es giebt kein Instrument, das am Unreinen und Unsauberen im Tonsatz wie im Spiel alsogleich Rache nähme, als die Orgel.","Robert Schumann, Musikalische Haus- und Lebensregeln. In: Neue Zeitschrift für Musik, Hrsg. Franz Brendel, Jg. 17, Bd. 32, Beilage zu Nr. 36, Verlag Robert Friese, Leipzig 1850, S. 3"
