"quote","attribution"
"Aber ich habe nichts Schlimmes getan. Drogen und Alkohol habe ich nie öffentlich konsumiert, nur privat - wenn keine Kameras dabei waren. Deshalb war ich meinen Fans nie ein schlechtes Vorbild.","Justin Timberlake, BZ Berlin, 17. Juli. 2006"
"Das ist keine Kamera und auch sonst nicht irgendwas. Das ist total Hightech.","Daniel Küblböck, als er während eines Konzerts mit einem Infrarotsichtgerät die Reihen durchleuchtet, Stuttgarter Zeitung Nr. 298/2006 vom 27. Dezember 2006"
"Ich bin akkreditiert, habe eine Kamera und viel Zeit. Das ist eine tödliche Kombination.","Oliver Pocher, über die Entscheidung der ARD, ihn als Berichterstatter bei der Fußballeuropameisterschaft 2008 zu verpflichten, Stuttgarter Nachrichten Nr. 92/2008 vom 19. April 2008, S. 37"
"Mit einer Kamera ist das etwas Intimes, die Kamera saugt dich auf wie ein Staubsauger.","Werner Schulze-Erdel, Interview mit Jakob Buhre, 14. Mai 2003, planet-interview.de"
