"quote","attribution"
"Ein Fisch, so groß, dass er ein Schiff verschlingen kann, ist auf dem Trockenen nicht einmal den Ameisen gewachsen.","Lü Bu We, Frühling und Herbst des Lü Bu We, S. 280. Frühling und Herbst des Lü Bu We. Aus dem Chinesischen übertragen und herausgegeben von Richard Wilhelm (1873-1930), Eugen Diederichs Verlag, Düsseldorf-Köln 1979, ISBN 3-424-00625-4"
"Noch immer leben wir niedrig wie Ameisen, obgleich die Sage erzählt, wir seien schon vor langer Zeit in Menschen verwandelt worden.","Henry David Thoreau, Walden"
"Wir Menschen sind keine Ameisen oder Graugänse, die ihrer genetischen Bestimmung folgen. Wir können denken und wählen und über unsere Geschichte nachdenken.","Arno Gruen, Der Kampf um die Demokratie"
"Gehe hin zur Ameise, du Fauler; siehe ihre Weise an und lerne! Ob sie wohl keinen Fürsten noch Hauptmann noch Herrn hat, bereitet sie doch ihr Brot im Sommer und sammelt ihre Speise in der Ernte.","Sprüche 6,6-8"
