"quote","attribution"
"Es schwellt der Orange benebelnder Duft // Fast heimlich herbei und berauscht meinen Sinn, // Es kühlt stiller Lorbeer die windliebe Luft, // Und Myrten enthaucht es, kaum merkbar: ich bin!","Theodor Däubler, Das Nordlicht. Genfer Ausgabe. Leipzig: Insel-Verlag, S. 444. Arno-Schmidt-Referenzbibliothek"
"Kennst du das Land, wo die Zitronen blühn, // Im dunkeln Laub die Gold-Orangen glühn?","Johann Wolfgang von Goethe, Mignon"
"Tanzt die Orange. Wer kann sie vergessen, // wie sie, ertrinkend in sich, sich wehrt // wider ihr Süßsein. Ihr habt sie besessen. // Sie hat sich köstlich zu euch bekehrt.","Rainer Maria Rilke, Die Sonette an Orpheus, Erster Teil, XV, Insel-Verlag, Leipzig 1923, S. 21"
