"quote","attribution"
"Das Haupt liegt übel, das eine Crone trägt.","William Shakespeare, König Heinrich der 4 - Teil 2; 3. Akt, 1. Szene, aus Wielands Übersetzung"
"Dieser erhielt das Kreuz als Lohn für seine Freveltaten, jener die Krone.","Juvenal, Satiren XIII, 105"
"Leb wohl, mein alter Wald, lebt wohl, ihr heil'gen Kronen, // Euch konnte hoch genug kein Dank, kein Opfer wohnen.","Pierre de Ronsard, Elegie XXIV"
"Schamhafte Demut ist der Reize Krone!","Friedrich Schiller, Die Braut von Messina, II,2 / Don Cesar"
"Was glauben sie was der Papst ist? Er ist ein Narr, // ein Verrückter mit drei Kronen auf dem Kopf, // ein Mensch der die Leute verflucht // die seiner Meinung keinen Glauben schenken.","Giorgio Baffo, aus Poesie, Seite 207"
"Die abgestorbne Eiche steht im Sturm, // Doch die gesunde stürzt er schmetternd nieder, // weil er in ihre Krone greifen kann.","Heinrich von Kleist, Penthesilea, Vierundzwanzigster Auftritt"
