"quote","attribution"
"Die Göttin hat mir Thee gekocht // Und Rum hineingegossen; // Sie selber aber hat den Rum // Ganz ohne Thee genossen.","Heinrich Heine, Deutschland. Ein Wintermärchen, Caput XXV"
"So kann die schlichte Tasse Tee zum Gefährt der Annäherung an etwas Großes werden, zum Medium einer vita contemplativa activa.","Stephan Reimertz, Vom Genuß des Tees, 1998"
"Abwarten und Tee trinken.","Redensart"
"Bitterer Tee, mit Wohlwollen dargeboten, schmeckt süßer als Tee, den man mit saurer Miene reicht.","Aus China"
"Ein heißes Bad erfrischt den Körper, ein heißer Tee den Geist.","Aus Japan"
"Eine Freundschaft ist wie eine Tasse Tee. Sie muss klar und durchscheinend sein, und man muss auf den Grund schauen können.","Aus China"
"Hoffnung ist wie der Zucker im Tee: Auch wenn sie klein ist, versüßt sie alles.","Aus China"
"Man trinkt Tee, damit man den Lärm der Welt vergisst.","Aus China"
"Tee erleuchtet den Verstand, schärft die Sinne, verleiht Leichtigkeit und Energie, und vertreibt Langeweile und Verdruss.","Aus China"
