"quote","attribution"
"Wo es Liebe regnet, wünscht sich keiner einen Schirm.","Aus Dänemark"
"Du bist mein Schirm; du wirst mich vor Angst behüten, daß ich errettet gar fröhlich rühmen kann.","Psalm 32,7"
"Wer unter dem Schirm des Höchsten sitzt und unter dem Schatten des Allmächtigen bleibt, der spricht zu dem HERRN: Meine Zuversicht und meine Burg, mein Gott, auf den ich hoffe.","Psalm 91,1 und 2"
"Er wird dich mit seinen Fittichen decken, und deine Zuversicht wird sein unter seinen Flügeln. Seine Wahrheit ist Schirm und Schild.","Psalm 91,4"
