"quote","attribution"
"Die Uhr steht still - // Steht still! sie schweigt wie Mitternacht. // Der Zeiger fällt // Er fällt! es ist vollbracht.","Johann Wolfgang von Goethe, Faust II A V, Großer Vorhof des Palastes / Mephisto und Chor Vs 11593f."
"Ein kleiner Spuk durch die Dampfheizung ging. // Keine Uhr war aufgezogen. // Ein zu früh geborener Schmetterling // Kam auf das Schachbrett geflogen.","Joachim Ringelnatz, aus Heimliche Stunde"
"Es gibt ein sehr probates Mittel, // die Zeit zu halten am Schlawittel: // Man nimmt die Taschenuhr zur Hand // und folgt dem Zeiger unverwandt.","Christian Morgenstern, Palmström, Die Zeit. Aus: Ausgewählte Werke. Hg. von Klaus Schuhmann, Leipzig: Insel, 1975. S. 310"
"Die Uhr kann stehen bleiben, die Zeit geht weiter.","sorbisches Sprichwort"
