"quote","attribution"
"Die Harfe ist ein ganzes Orchester, wenn man ihr großes Potenzial verwenden kann.","Anna-Maria Ravnopolska-Dean, Zeitung NordBulgarien, 23, Plewen, Lowetsch, Gabrowo, Weliko Tarnowo, Wratza, Montana und Widin 13-19 Juni 2008, S. 10. Deutsche Übersetzung von Benutzer:Detben. bgsever.info "
"(Original bulg.: ","Арфата е цял оркестър, стига да можеш да извлечеш от нея всичките й звуци"
"Es klingt nicht wohl auf der Harfe, wenn man Gott lästert.","Sprichwort"
"Wer die Harfe nicht spielen kann, der werd' ein Pfeifer.","Sprichwort"
"Wer die Harfe nicht spielen kann, greife nicht hinein.","Sprichwort"
"Gefestigt ist mein Herz, o Gott, gefestigt ist mein Herz! Ich will singen und spielen. Wache auf, meine Seele! Wachet auf, Harfe und Zither! Ich will aufwecken die Morgenröte.","Psalme 57,8-9"
"Preist den Herrn mit der Zither; spielt ihm auf der zehnsaitigen Harfe! Singt Ihm ein neues Lied; spielt schön auf den Saiten mit Jubelschall!","Psalme 33,2-3"
