"quote","attribution"
"Auch was wir aufgeben, müssen wir mit freier Wahl aufgeben, nicht wie der Fuchs die Trauben.","Gottfried Keller, Der grüne Heinrich"
"Wie wichtig ist es doch, sich bei Delikatessen und ähnlichen Speisen vorzustellen, dass dieses die Leiche eines Fischs, jenes die Leiche eines Vogels oder Schweines ist, ebenso, dass der Falerner der Saft einer Traube ist und das Purpurgewand die Wolle eines Schafes mit Blut einer Muschel benetzt.","Marc Aurel, Selbstbetrachtungen VI, 13"
"Der Fuchs, der an die Trauben nicht rankam, behauptet, sie sind eh sauer.","Aus der Türkei"
