"quote","attribution"
"Ich habe dich so lieb! // Ich würde dir ohne Bedenken // Eine Kachel aus meinem Ofen // Schenken!","Joachim Ringelnatz, Ich habe dich so lieb. In: Allerdings. Berlin: Rowohlt, 1928. S. 7"
"Wir können der Wirklichkeit nicht habhaft werden. Sie muß gestutzt, gekürzt, geknetet, ja, sie muß umgeglüht werden, und der Ofen, in dem die Umglühung vorgenommen wird, ist die Phantasie.","Jakob Wassermann, Tagebuch aus dem Winkel, Erzählungen und Aufsätze aus dem Nachlaß. Amsterdam: Querido Verlag, 1935. S. 88"
"Wer sich im Alter wärmen will, muss sich in der Jugend einen Ofen bauen.","Aus Deutschland.  Wander-DSL, Bd. 1, Sp. 62, commons"
